import time: self [us] | cumulative | imported package
import time:       492 |       4919 |               sqlalchemy.pool
import time:       749 |        749 |                     sqlalchemy.sql.roles
import time:       775 |        775 |                     sqlalchemy.inspection
import time:      1688 |       3211 |                   sqlalchemy.sql._typing
import time:      1626 |       1626 |                     sqlalchemy.sql.visitors
import time:       851 |        851 |                     sqlalchemy.sql.cache_key
import time:       868 |        868 |                       sqlalchemy.sql.operators
import time:       680 |       1548 |                     sqlalchemy.sql.traversals
import time:      2839 |       6861 |                   sqlalchemy.sql.base
import time:      1459 |       1459 |                     sqlalchemy.sql.coercions
import time:       544 |        544 |                           sqlalchemy.sql.annotation
import time:      2332 |       2332 |                               sqlalchemy.sql.type_api
import time:      6087 |       8419 |                             sqlalchemy.sql.elements
import time:      1053 |       1053 |                             sqlalchemy.util.topological
import time:      2112 |      11582 |                           sqlalchemy.sql.ddl
import time:       977 |        977 |                                   _compat_pickle
import time:      1047 |       1047 |                                   _pickle
import time:        77 |         77 |                                       org
import time:        11 |         88 |                                     org.python
import time:        11 |         99 |                                   org.python.core
import time:     28123 |      30244 |                                 pickle
import time:       352 |        352 |                                   sqlalchemy.engine._py_processors
import time:       513 |        865 |                                 sqlalchemy.engine.processors
import time:      7244 |      38352 |                               sqlalchemy.sql.sqltypes
import time:      6470 |      44821 |                             sqlalchemy.sql.selectable
import time:      5752 |      50573 |                           sqlalchemy.sql.schema
import time:       985 |      63683 |                         sqlalchemy.sql.util
import time:      1491 |      65173 |                       sqlalchemy.sql.dml
import time:       821 |      65993 |                     sqlalchemy.sql.crud
import time:      2765 |       2765 |                     sqlalchemy.sql.functions
import time:      5700 |      75916 |                   sqlalchemy.sql.compiler
import time:       345 |        345 |                     sqlalchemy.sql._dml_constructors
import time:       668 |        668 |                     sqlalchemy.sql._elements_constructors
import time:       434 |        434 |                     sqlalchemy.sql._selectable_constructors
import time:       852 |        852 |                     sqlalchemy.sql.lambdas
import time:       601 |       2898 |                   sqlalchemy.sql.expression
import time:       561 |        561 |                   sqlalchemy.sql.default_comparator
import time:       838 |        838 |                     sqlalchemy.sql.events
import time:       473 |       1311 |                   sqlalchemy.sql.naming
import time:      6210 |      96964 |                 sqlalchemy.sql
import time:        13 |      96977 |               sqlalchemy.sql.compiler
import time:      1680 |     108115 |             sqlalchemy.engine.interfaces
import time:       449 |        449 |             sqlalchemy.engine.util
import time:       703 |     109265 |           sqlalchemy.engine.base
import time:      1496 |     110761 |         sqlalchemy.engine.events
import time:       332 |        332 |             sqlalchemy.dialects
import time:      1636 |       1968 |           sqlalchemy.engine.url
import time:       178 |        178 |           sqlalchemy.engine.mock
import time:       618 |       2763 |         sqlalchemy.engine.create
import time:       622 |        622 |             sqlalchemy.engine.row
import time:      1354 |       1975 |           sqlalchemy.engine.result
import time:       922 |       2897 |         sqlalchemy.engine.cursor
import time:      1193 |       1193 |         sqlalchemy.engine.reflection
import time:       307 |     117920 |       sqlalchemy.engine
import time:       322 |        322 |       sqlalchemy.schema
import time:       304 |        304 |       sqlalchemy.types
import time:       286 |        286 |         sqlalchemy.engine.characteristics
import time:       849 |       1134 |       sqlalchemy.engine.default
import time:       747 |     138246 |     sqlalchemy
import time:       538 |        538 |                   sqlalchemy.sql._orm_types
import time:       917 |       1455 |                 sqlalchemy.orm._typing
import time:      1800 |       3254 |               sqlalchemy.orm.base
import time:       867 |        867 |               sqlalchemy.orm.mapped_collection
import time:      1438 |       5558 |             sqlalchemy.orm.collections
import time:      1034 |       1034 |               sqlalchemy.orm.path_registry
import time:      1580 |       2614 |             sqlalchemy.orm.interfaces
import time:      2034 |      10205 |           sqlalchemy.orm.attributes
import time:      1364 |      11569 |         sqlalchemy.orm.util
import time:       582 |      12150 |       sqlalchemy.orm.exc
import time:       718 |        718 |           sqlalchemy.orm.state
import time:       778 |       1495 |         sqlalchemy.orm.instrumentation
import time:       184 |        184 |               sqlalchemy.future.engine
import time:       251 |        434 |             sqlalchemy.future
import time:      1428 |       1862 |           sqlalchemy.orm.context
import time:      1067 |       1067 |               sqlalchemy.orm.strategy_options
import time:       821 |        821 |               sqlalchemy.orm.descriptor_props
import time:      1877 |       1877 |               sqlalchemy.orm.relationships
import time:       849 |       4612 |             sqlalchemy.orm.properties
import time:      2702 |       2702 |             sqlalchemy.orm.query
import time:       611 |        611 |             sqlalchemy.orm.unitofwork
import time:       438 |        438 |                 sqlalchemy.orm.evaluator
import time:       223 |        223 |                   sqlalchemy.orm.sync
import time:       451 |        673 |                 sqlalchemy.orm.persistence
import time:       803 |       1914 |               sqlalchemy.orm.bulk_persistence
import time:       383 |        383 |               sqlalchemy.orm.identity
import time:       394 |        394 |               sqlalchemy.orm.state_changes
import time:      1711 |       4401 |             sqlalchemy.orm.session
import time:      1387 |      13712 |           sqlalchemy.orm.strategies
import time:       582 |      16154 |         sqlalchemy.orm.loading
import time:      1653 |      19301 |       sqlalchemy.orm.mapper
import time:       847 |        847 |       sqlalchemy.orm._orm_constructors
import time:       383 |        383 |         sqlalchemy.orm.clsregistry
import time:      1759 |       1759 |         sqlalchemy.orm.decl_base
import time:       836 |       2977 |       sqlalchemy.orm.decl_api
import time:       504 |        504 |         sqlalchemy.orm.writeonly
import time:      3348 |       3851 |       sqlalchemy.orm.dynamic
import time:       875 |        875 |         sqlalchemy.orm.scoping
import time:      4804 |       5678 |       sqlalchemy.orm.events
import time:       487 |        487 |       sqlalchemy.orm.dependency
import time:      1549 |      46836 |     sqlalchemy.orm
import time:       194 |        194 |         sqlalchemy.dialects.postgresql.operators
import time:       498 |        691 |       sqlalchemy.dialects.postgresql.array
import time:       441 |        441 |         sqlalchemy.dialects.postgresql.json
import time:      1032 |       1032 |         sqlalchemy.dialects.postgresql.ranges
import time:       488 |        488 |             sqlalchemy.dialects.postgresql.types
import time:      3313 |       3800 |           sqlalchemy.dialects.postgresql.pg_catalog
import time:       958 |        958 |           sqlalchemy.dialects.postgresql.ext
import time:       913 |        913 |           sqlalchemy.dialects.postgresql.hstore
import time:       621 |        621 |           sqlalchemy.dialects.postgresql.named_types
import time:      3593 |       9883 |         sqlalchemy.dialects.postgresql.base
import time:       373 |        373 |           sqlalchemy.connectors
import time:       661 |       1033 |         sqlalchemy.connectors.asyncio
import time:      1163 |      13550 |       sqlalchemy.dialects.postgresql.asyncpg
import time:      1054 |       1054 |       sqlalchemy.dialects.postgresql.pg8000
import time:       387 |        387 |         sqlalchemy.dialects.postgresql._psycopg_common
import time:       725 |       1111 |       sqlalchemy.dialects.postgresql.psycopg
import time:       585 |        585 |       sqlalchemy.dialects.postgresql.psycopg2
import time:       241 |        241 |       sqlalchemy.dialects.postgresql.psycopg2cffi
import time:       314 |        314 |         sqlalchemy.dialects._typing
import time:       586 |        899 |       sqlalchemy.dialects.postgresql.dml
import time:       481 |      18609 |     sqlalchemy.dialects.postgresql
import time:       286 |        286 |         psycopg2.errors
import time:      8153 |       8438 |       psycopg2._psycopg
import time:       305 |        305 |         psycopg2._json
import time:       727 |        727 |         psycopg2._range
import time:       733 |       1764 |       psycopg2.extensions
import time:       330 |      10531 |     psycopg2
import time:       321 |        321 |       psycopg2._ipaddress
import time:      1009 |       1330 |     psycopg2.extras
import time:       927 |     216476 |   app.database
import time:        58 |         58 |   app.models
import time:      1713 |       1713 |   app.models.user
import time:       929 |        929 |   app.models.text
import time:       763 |        763 |   app.models.translation
import time:       731 |        731 |   app.models.audio
import time:       534 |        534 |   app.models.embedding
import time:      1205 |       1205 |   app.models.chalisa
import time:       850 |        850 |   app.models.puja_vidhi
import time:      1371 |       1371 |   app.models.bookmark
import time:       739 |        739 |   app.models.history
import time:      1721 |       1721 |   app.models.topic
import time:       741 |        741 |   app.models.text_stats
import time:       874 |        874 |   app.models.analytics
import time:        56 |         56 |   app.routes
import time:        39 |         39 |       app.utils
import time:       258 |        258 |         passlib
import time:       524 |        524 |         passlib.exc
import time:       506 |        506 |                 passlib.utils.compat
import time:       425 |        425 |                 stringprep
import time:        35 |         35 |                   gc
import time:       350 |        384 |                 timeit
import time:       340 |        340 |                   passlib.utils.decor
import time:       405 |        744 |                 passlib.utils.binary
import time:      1257 |       1257 |                   _crypt
import time:       708 |       1965 |                 crypt
import time:       621 |       4644 |               passlib.utils
import time:        15 |       4658 |             passlib.utils.decor
import time:       379 |       5037 |           passlib.ifc
import time:       448 |       5484 |         passlib.registry
import time:       852 |        852 |         passlib.utils.handlers
import time:      1028 |       1028 |         configparser
import time:       818 |       8962 |       passlib.context
import time:       534 |        534 |         jose.exceptions
import time:       368 |        901 |       jose
import time:       112 |        112 |                           cryptography.__about__
import time:       216 |        327 |                         cryptography
import time:       223 |        549 |                       cryptography.utils
import time:       482 |       1031 |                     jose.utils
import time:       195 |       1226 |                   jose.backends.base
import time:       121 |        121 |                   jose.constants
import time:       320 |       1666 |                 jose.backends.native
import time:        66 |         66 |                         cryptography.hazmat
import time:       118 |        183 |                       cryptography.hazmat.bindings
